bat_id;sex
900200000206430;female
900200000206691;male
900200000279415;female
900200000279422;female
900200000279470;male
900200000279490;female
900200000279506;female
900200000279517;male
900200000279533;male
900200000279779;male
900200000279820;male
981126058484277;unknown
982000359237615;male
982126051278470;male
982126051278475;female
982126051278491;female
982126051278504;female
982126051278521;female
982126051278540;female
982126051278549;female
982126051278564;female
982126052945896;male
982126052945921;female
982126057845067;female
982126057845162;male
982126057845181;female
982126057845190;female
982126057845194;male
982126057845201;female
982126057845204;male
982126057845205;female
982126057845206;unknown
982126057845225;male
982126057845238;male
982126057846151;female
982126057846158;female
982126057846186;male
982126057846193;male
982126057846202;male
982126057846208;male
982126057846209;male
982126057846218;female
982126057846222;male
982126057846227;female
982126057846231;female
982126057846238;male
982126057846246;male
982126058484254;male
982126058484260;female
982126058484263;male
982126058484270;male
982126058484272;female
982126058484277;female
982126058484287;female
982126058484290;female
982126058484291;female
982126058484299;male
982126058484300;female
982126058484301;female
982126058484302;female
982126058484305;male
982126058484310;male
982126058484312;male
982126058484315;male
982126058484318;male
982126058484322;male
982126058484326;female
982126058484330;male
982126058484331;female
982126058484334;male
982126058484337;female
982126058484339;female
982126058484343;female
982126058484346;female
982126058484351;female
982126058486260;unknown
